checkTime,arrivalTime,price
2014-5-25 16:9,2014-07-12,2091
2014-5-25 16:9,2014-07-13,2553
2014-5-23 4:10,2014-07-08,1901
2014-5-30 22:12,2014-07-14,4329
2014-5-25 22:12,2014-07-09,1901
2014-5-25 22:12,2014-07-10,1901
2014-5-31 4:10,2014-07-14,4329
2014-5-25 22:12,2014-07-12,2091
2014-5-25 22:12,2014-07-13,2553
2014-5-23 4:10,2014-07-11,1901
2014-5-31 10:9,2014-07-14,4329
2014-5-26 4:10,2014-07-09,1901
2014-5-26 4:10,2014-07-10,1901
2014-5-31 16:9,2014-07-14,4329
2014-5-26 4:10,2014-07-12,2091
2014-5-26 4:10,2014-07-13,2553
2014-5-23 10:9,2014-07-08,1901
2014-5-31 22:12,2014-07-14,4329
2014-5-26 10:9,2014-07-09,1901
2014-5-26 10:9,2014-07-10,1901
2014-6-1 4:10,2014-07-14,4329
2014-5-26 10:9,2014-07-12,2091
2014-5-26 10:9,2014-07-13,2553
2014-5-23 10:9,2014-07-11,1901
2014-6-1 10:9,2014-07-14,4329
2014-5-26 16:9,2014-07-09,1901
2014-5-26 16:9,2014-07-10,1901
2014-6-1 16:9,2014-07-14,4329
2014-5-26 16:9,2014-07-12,2091
2014-5-26 16:9,2014-07-13,2553
2014-5-23 16:9,2014-07-08,1901
2014-6-1 22:12,2014-07-14,4329
2014-5-26 22:12,2014-07-09,1901
2014-5-26 22:12,2014-07-10,1901
2014-6-2 4:10,2014-07-14,4329
2014-5-26 22:12,2014-07-12,2091
2014-5-26 22:12,2014-07-13,2553
2014-5-23 16:9,2014-07-11,1901
2014-6-2 10:9,2014-07-14,4331
2014-5-27 4:10,2014-07-09,1901
2014-5-27 4:10,2014-07-10,1901
2014-6-2 16:9,2014-07-14,4331
2014-5-27 4:10,2014-07-12,2091
2014-5-27 4:10,2014-07-13,2553
2014-5-23 22:12,2014-07-08,1901
2014-6-2 22:12,2014-07-14,4331
2014-5-27 10:9,2014-07-09,1901
2014-5-27 10:9,2014-07-10,1901
2014-6-3 4:10,2014-07-14,4331
2014-5-27 10:9,2014-07-12,2091
2014-5-27 10:9,2014-07-13,3182
2014-5-23 22:12,2014-07-11,1901
2014-6-3 10:9,2014-07-14,4331
2014-5-27 16:9,2014-07-09,1901
2014-5-27 16:9,2014-07-10,1901
2014-6-3 16:9,2014-07-14,4331
2014-5-27 16:9,2014-07-12,2091
2014-5-27 16:9,2014-07-13,2553
2014-5-24 4:10,2014-07-08,1901
2014-6-3 22:12,2014-07-14,4331
